orderId,date,customerId,segment,region,category,channel,revenue
O1001,2026-01-04,C003,Consumer,South,Services,Web,174.24
O1002,2026-01-08,C006,Consumer,North,Subscriptions,Partner,158.4
O1003,2026-01-12,C009,Enterprise,South,Accessories,Direct,497.25
O1004,2026-01-16,C012,SMB,West,Software,Web,572.67
O1005,2026-01-20,C003,Consumer,South,Services,Partner,197.12
O1006,2026-01-24,C006,Consumer,North,Subscriptions,Direct,132.48
O1007,2026-01-04,C009,Enterprise,South,Accessories,Web,569.08
O1008,2026-02-05,C005,Enterprise,East,Subscriptions,Partner,679.51
O1009,2026-02-09,C008,Consumer,West,Accessories,Direct,104.33
O1010,2026-02-13,C011,Consumer,East,Software,Web,241.52
O1011,2026-02-17,C002,SMB,East,Services,Partner,420.03
O1012,2026-02-21,C005,Enterprise,East,Subscriptions,Direct,783.44
O1013,2026-02-25,C008,Consumer,West,Accessories,Web,118.46
O1014,2026-02-05,C011,Consumer,East,Software,Partner,200.89
O1015,2026-03-06,C007,SMB,South,Accessories,Direct,303.52
O1016,2026-03-10,C010,SMB,North,Software,Web,506.78
O1017,2026-03-14,C001,Enterprise,North,Services,Partner,947.81
O1018,2026-03-18,C004,SMB,West,Subscriptions,Direct,428.5
O1019,2026-03-22,C007,SMB,South,Accessories,Web,249.96
O1020,2026-03-26,C010,SMB,North,Software,Partner,587.13
O1021,2026-03-06,C001,Enterprise,North,Services,Direct,1080.3
O1022,2026-04-07,C009,Enterprise,South,Software,Web,1146.12
O1023,2026-04-11,C012,SMB,West,Services,Partner,519.13
O1024,2026-04-15,C003,Consumer,South,Subscriptions,Direct,179.78
O1025,2026-04-19,C006,Consumer,North,Accessories,Web,106.24
O1026,2026-04-23,C009,Enterprise,South,Software,Partner,1315.44
O1027,2026-04-03,C012,SMB,West,Services,Direct,587.29
O1028,2026-04-07,C003,Consumer,South,Subscriptions,Web,150.36
O1029,2026-05-08,C011,Consumer,East,Services,Partner,218.06
O1030,2026-05-12,C002,SMB,East,Subscriptions,Direct,379.13
O1031,2026-05-16,C005,Enterprise,East,Accessories,Web,625.87
O1032,2026-05-20,C008,Consumer,West,Software,Partner,272.72
O1033,2026-05-24,C011,Consumer,East,Services,Direct,180.68
O1034,2026-05-04,C002,SMB,East,Subscriptions,Web,437.12
O1035,2026-05-08,C005,Enterprise,East,Accessories,Partner,710.63
O1036,2026-06-09,C001,Enterprise,North,Subscriptions,Direct,852.78
O1037,2026-06-13,C004,SMB,West,Accessories,Web,341.11
O1038,2026-06-17,C007,SMB,South,Software,Partner,569.55
O1039,2026-06-21,C010,SMB,North,Services,Direct,526.33
O1040,2026-06-25,C001,Enterprise,North,Subscriptions,Web,974.61
O1041,2026-06-05,C004,SMB,West,Accessories,Partner,280.92
O1042,2026-06-09,C007,SMB,South,Software,Direct,659.85
